y|x;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
10;0,71;0,753;0,848;0,86;0,909;0,074;0,059;0,859;0,362;0,43;0,619;0,783;0,789;0,125;0,176;0,758;0,33;0,395;0,765;0,481;0,452;0,559;0,603;0,098;0,505;0,332;0,926;0,141;0,303;0,635;0,832;0,692;0,522;0,425;0;0,417;0,525;0,344;0,834;0,515;0,761;0,509;0,394;0,275;0,911;0,568;0,767;0,961;0,389;0,312
11;0,44;0,911;0,49;0,864;0,824;0,189;0,122;0,387;0,586;0,915;0,726;0,595;0,849;0,962;0,595;0,65;0,194;0,736;0,633;0,985;0,946;0,866;0,694;0,662;0,569;0,48;0,648;0,092;0,989;0,031;0,901;0,804;0,483;0,858;0,258;0,653;0,482;0,425;0,383;0,601;0,306;0,057;0,93;0,978;0,675;0,151;0,062;0,805;0,561;0,563
12;0,189;0,313;0,331;0,53;0,703;0,725;0,995;0,276;0,934;0,713;0,125;0,172;0,612;0,204;0,63;0,272;0,84;0,017;0,517;0,634;0,466;0,942;0,953;0,181;0,534;0,019;0,46;0,259;0,683;0,728;0,885;0,592;0,948;0,65;0,078;0,287;0,814;0,947;0,115;0,303;0,016;0,728;0,822;0,347;0,289;0,556;0,418;0,452;0,245;0,894
13;0,501;0,392;0,651;0,924;0,462;0,265;0,158;0,102;0,401;0,87;0,694;0,037;0,537;0,171;0,432;0,064;0,626;0,864;0,416;0,106;0,106;0,184;0,202;0,731;0,136;0,183;0,806;0,504;0,227;0,61;0,301;0,02;0,271;0,648;0,673;0,701;0,99;0,056;0,279;0,505;0,964;0,075;0,807;0,173;0,226;0,73;0,486;0,489;0,818;0,094
14;0,95;0,028;0,512;0,946;0,37;0,798;0,026;0,22;0,664;0,159;0,026;0,948;0,55;0,874;0,64;0,871;0,955;0,417;0,202;0,539;0,913;0,265;0,248;0,157;0,49;0,788;0,373;0,148;0,752;0,736;0,827;0,821;0,288;0,176;0,069;0,821;0,934;0,923;0,858;0,118;0,44;0,315;0,11;0,465;0,458;0,354;0,928;0,365;0,924;0,91
15;0,681;0,196;0,916;0,156;0,081;0,861;0,583;0,398;0,719;0,695;0,481;0,934;0,508;0,904;0,353;0,977;0,581;0,486;0,744;0,181;0,909;0,182;0,769;0,137;0,959;0,365;0,851;0,661;0,199;0,571;0,942;0,823;0,802;0,34;0,749;0,872;0,676;0,701;0,379;0,107;0,101;0,91;0,428;0,261;0,427;0,976;0,516;0,815;0,507;0,841
16;0,318;0,934;0,095;0,897;0,284;0,165;0,487;0,17;0,221;0,004;0,883;0,01;0,138;0,968;0,134;0,345;0,232;0,591;0,63;0,437;0,272;0,866;0,659;0,285;0,291;0,819;0,424;0,817;0,346;0,961;0,935;0,702;0,139;0,226;0,699;0,685;0,688;0,178;0,971;0,964;0,512;0,363;0,932;0,997;0,549;0,485;0,774;0,87;0,371;0,367
17;0,302;0,355;0,816;0,877;0,659;0,372;0,591;0,196;0,551;0,296;0,738;0,046;0,395;0,278;0,746;0,978;0,901;0,285;0,682;0,477;0,542;0,223;0,858;0,806;0,53;0,865;0,869;0,2;0,094;0,725;0,111;0,875;0,1;0,013;0,37;0,816;0,354;0,102;0,713;0,844;0,61;0,85;0,004;0,293;0,934;0,435;0,779;0,816;0,168;0,848
18;0,1;0,78;0,482;0,327;0,285;0,218;0,415;0,259;0,299;0,443;0,531;0,847;0,875;0,155;0,887;0,607;0,171;0,941;0,136;0,96;0,31;0,664;0,16;0,78;0,401;0,198;0,731;0,662;0,177;0,153;0,701;0,542;0,633;0,029;0,547;0,776;0,928;0,798;0,448;0,142;0,226;0,949;0,953;0,014;0,225;0,807;0,825;0,433;0,618;0,413
19;0,247;0,043;0,026;0,043;0,168;0,939;0,388;0,745;0,24;0,039;0,862;0,592;0,105;0,688;0,68;0,008;0,843;0,923;0,822;0,361;0,564;0,648;0,654;0,624;0,599;0,693;0,44;0,649;0,929;0,515;1;0,633;0,256;0,221;0,883;0,534;0,016;0,293;0,879;0,139;0,074;0,621;0,439;0,384;0,514;0,857;0,981;0,245;0,53;0,399
20;0,61;0,621;0,348;0,072;0,215;0,377;0,895;0,136;0,507;0,992;0,351;0,618;0,854;0,265;0,497;0,958;0,349;0,553;0,235;0,276;0,168;0,126;0,842;0,477;0,486;0,771;0,163;0,167;0,796;0,515;0,334;0,955;0,115;0,342;0,583;0,064;0,223;0,8;0,986;0,509;0,198;0,288;0,356;0,492;0,618;0,062;0,315;0,088;0,17;0,065
21;0,961;0,873;0,466;0,924;0,418;0,167;0,296;0,921;0,167;0,991;0,748;0,166;0,638;0,297;0,448;0,401;0,127;0,134;0,403;0,894;0,093;0,896;0,382;0,542;0,42;0,164;0,891;0,161;0,664;0,365;0,684;0,729;0,354;0,429;0,505;0,809;0,723;0,763;0,381;0,441;0,722;0,525;0,23;0,876;0,851;0,674;0,63;0,382;0,852;0,338
22;0,261;0,359;0,432;0,259;0,243;0,12;0,237;0,339;0,922;0,903;0,052;0,772;0,179;0,094;0,288;0,799;0,231;0,091;0,497;0,411;0,072;0,493;0,719;0,115;0,352;0,187;0,727;0,143;0,061;0,808;0,057;0,073;0,613;0,485;0,981;0,007;0,555;0,446;0,834;0,206;0,626;0,7;0,208;0,717;0,334;0,252;0,815;0,661;0,471;0,376
23;0,72;0,222;0,168;0,253;0,761;0,549;0,174;0,024;0,15;0,023;0,061;0,276;0,303;0,569;0,92;0,222;0,202;0,395;0,735;0,442;0,108;0,508;0,249;0,874;0,354;0,521;0,324;0,727;0,896;0,806;0,641;0,577;0,45;0,405;0,83;0,212;0,67;0,997;0,628;0,014;0,803;0,104;0,829;0,083;0,731;0,323;0,881;0,94;0,559;0,942
24;0,699;0,26;0,795;0,906;0,775;0,519;0,961;0,379;0,154;0,496;0,235;0,985;0,28;0,634;0,143;0,037;0,877;0,17;0,67;0,657;0,02;0,562;0,369;0,885;0,778;0,421;0,636;0,395;1;0,758;0,174;0,931;0,568;0,731;0,352;0,804;0,981;0,447;0,052;0,618;0,878;0,549;0,516;0,807;0,895;0,002;0,85;0,297;0,294;0,703
25;0,239;0,674;0,765;0,413;0,614;0,001;0,594;0,778;0,379;0,383;0,735;0,803;0,16;0,602;0,119;0,204;0,564;0,116;0,953;0,327;0,576;0,415;0,924;0,877;0,089;0,818;0,636;0,471;0,954;0,356;0,58;0,394;0,988;0,062;0,376;0,195;0,106;0,726;0,823;0,885;0,321;0,162;0,957;0,444;0,089;0,908;0,962;0,324;0,877;0,84
26;0,796;0,297;0,258;0,529;0,176;0,492;0,269;0,091;0,665;0,377;0,482;0,719;0,863;0,313;0,007;0,621;0,813;0,141;0,707;0,064;0,078;0,9;0,771;0,907;0,039;0,1;0,703;0,692;0,398;0,255;0,113;0,54;0,205;0,032;0;0,342;0,522;0,839;0,956;0,432;0,036;0,867;0,034;0,179;0,007;0,801;0,425;0,55;0,977;0,855
27;0,927;0,976;0,688;0,069;0,078;0,498;0,39;0,881;0,263;0,907;0,551;0,513;0,941;0,989;0,752;0,691;0,941;0,607;0,499;0,179;0,865;0,086;0,882;0,083;0,298;0,24;0,33;0,553;0,35;0,321;0,598;0,528;0,357;0,633;0,045;0,729;0,249;0,345;0,332;0,608;0,705;0,464;0,92;0,374;0,939;0,893;0,076;0,402;0,933;0,565
28;0,199;0,444;0,997;0,048;0,502;0,683;0,88;0,998;0,175;0,154;0,935;0,486;0,868;0,267;0,238;0,89;0,08;0,427;0,134;0,729;0,486;0,654;0,846;0,44;0,714;0,332;0,283;0,009;0,523;0,007;0,986;0,178;0,009;0,012;0,117;0,74;0,014;0,334;0,098;0,344;0,828;0,513;0,03;0,558;0,089;0,715;0,634;0,384;0,5;0,549
29;0,906;0,671;0,004;0,344;0,791;0,123;0,789;0,068;0,315;0,829;0,031;0,06;0,628;0,21;0,892;0,935;0,635;0,513;0,873;0,483;0,775;0,605;0,148;0,024;0,204;0,643;0,944;0,862;0,111;0,324;0,238;0,818;0,851;0,392;0,695;0,574;0,701;0,498;0,096;0,956;0,753;0,12;0,87;0,292;0,148;0,226;0,583;0,096;0,04;0,593
30;0,587;0,078;0,928;0,121;0,478;0,892;0,234;0,877;0,674;0,37;0,289;0,18;0,662;0,221;0,149;0,209;0,438;0,12;0,674;0,169;0,801;0,089;0,613;0,377;0,352;0,251;0,043;0,895;0,48;0,719;0,313;0,971;0,826;0,008;0,422;0,235;0,386;0,398;0,521;0,067;0,723;0,675;0,07;0,594;0,426;0,827;0,079;0,778;0,528;0,98
31;0,135;0,627;0,275;0,514;0,607;0,248;0,321;0,742;0,572;0,158;0,683;0,776;0,334;0,33;0,213;0,128;0,058;0,423;0,508;0,58;0,07;0,577;0,364;0,116;0,773;0,313;0,84;0,018;0,915;0,933;0,434;0,648;0,222;0,954;0,058;0,656;0,799;0,031;0,091;0,688;0,34;0,319;0,037;0,97;0,709;0,149;0,906;0,768;0,772;0,718
32;0,411;0,731;0,102;0,075;0,415;0,772;0,261;0,513;0,63;0,545;0,286;0,71;0,203;0,077;0,589;0,536;0,512;0,79;0,659;0,123;0,005;0,949;0,808;0,368;0,635;0,525;0,85;0,335;0,606;0,122;0,037;0,898;0,528;0,612;0,534;0,253;0,872;0,085;0,908;0,434;0,72;0,123;0,019;0,486;0,602;0,188;0,792;0,749;0,386;0,559
33;0,087;0,814;0,605;0,536;0,477;0,06;0,856;0,568;0,425;0,845;0,746;0,478;0,539;0,075;0,092;0,085;0,232;0,921;0,312;0,304;0,705;0,948;0,192;0,828;0,066;0,977;0,866;0,087;0,851;0,696;0,901;0,517;0,582;0,19;0,542;0,975;0,112;0,456;0,51;0,097;0,377;0,89;0,219;0,047;0,009;0,954;0,231;0,499;0,988;0,065
34;0,687;0,375;0,754;0,189;0,634;0,921;0,762;0,659;0,139;0,029;0,211;0,738;0,403;0,648;0,229;0,996;0,009;0,464;0,777;0,441;0,141;0,984;0,965;0,729;0,025;0,136;0,772;0,752;0,756;0,717;0,596;0,263;0,761;0,006;0,153;0,473;0,639;0,243;0,539;0,368;0,933;0,073;0,313;0,614;0,084;0,99;0,891;0,105;0,412;0,586
35;0,094;0,435;0,757;0,925;0,2;0,554;0,376;0,126;0,526;0,024;0,983;0,424;0,025;0,298;0,025;0,445;0,324;0,237;0,383;0,441;0,621;0,017;0,93;0,948;0,99;0,385;0,022;0,776;0,039;0,44;0,484;0,882;0,339;0,832;0,056;0,319;0,957;0,441;0,181;0,107;0,392;0,762;0,007;0,492;0,327;0,277;0,327;0,649;0,77;0,848
36;0,158;0,611;0,393;0,005;0,573;0,024;0,43;0,219;0,903;0,191;0,622;0,827;0,949;0,806;0,011;0,934;0,373;0,953;0,594;0,198;0,862;0,891;0,744;0,208;0,282;0,678;0,49;0,16;0,65;0,419;0,667;0,094;0,911;0,955;0,567;0,305;0,088;0,267;0,62;0,473;0,8;0,636;0,204;0,734;0,286;0,342;0,763;0,706;0,508;0,051
37;0,654;0,437;0,437;0,428;0,352;0,217;0,423;0,47;0,227;0,421;0,857;0,676;0,187;0,858;0,88;0,28;0,465;0,24;0,004;0,034;0,437;0,092;0,774;0,967;0,643;0,596;0,381;0,079;0,967;0,576;0,313;0,547;0,299;0,317;0,073;0,931;0,835;0,981;0,934;0,585;0,054;0,179;0,275;0,744;0,787;0,695;0,574;0,151;0,474;0,455
38;0,484;0,644;0,745;0,154;0,298;0,543;0,463;0,064;0,832;0,015;0,34;0,963;0,314;0,042;0,101;0,202;0,652;0,528;0,891;0,727;0,473;0,581;0,355;0,704;0,911;0,844;0,933;0,097;0,881;0,385;0,201;0,196;0,232;0,517;0,534;0,018;0,519;0,689;0,823;0,853;0,494;0,227;0,622;0,614;0,166;0,111;0,727;0,053;0,565;0,908
39;0,059;0,239;0,528;0,003;0,831;0,102;0,778;0,753;0,493;0,694;0,52;0,876;0,389;0,224;0,197;0,454;0,1;0,978;0,652;0,872;0,522;0,299;0,037;0,644;0,814;0,707;0,799;0,365;0,078;0,289;0,652;0,709;0,332;0,578;0,443;0,653;0,824;0,609;0,503;0,87;0,611;0,347;0,645;0,243;0,958;0,625;0,549;0,385;0,176;0,816
40;0,959;0,571;0,987;0,648;0,277;0,536;0,966;0,33;0,147;0,689;0,316;0,251;0,048;0,836;0,269;0,971;0,472;0,709;0,661;0,319;0,032;0,401;0,372;0,351;0,891;0,084;0,324;0,125;0,426;0,933;0,194;0,648;0,172;0,89;0,437;0,242;0,435;0,684;0,573;0,376;0,087;0,785;0,036;0,688;0,586;0,05;0,923;0,302;0,468;0,323
41;0,229;0,384;0,857;0,393;0,571;0,94;0,879;0,818;0,467;0,036;0,276;0,065;0,746;0,889;0,085;0,59;0,918;0,346;0,984;0,119;0,504;0,818;0,502;0,46;0,254;0,937;0,84;0,946;0,481;0,791;0,523;0,148;0,698;0,241;0,093;0,364;0,06;0,053;0,434;0,802;0,697;0,898;0,163;0,801;0,751;0,679;0,778;0,068;0,861;0,852
42;0,729;0,367;0,858;0,113;0,456;0,94;0,776;0,298;0,679;0,385;0,451;0,029;0,625;0,702;0,925;0,588;0,914;0,186;0,462;0,686;0,063;0,754;0,931;0,479;0,784;0,149;0,553;0,758;0,628;0,44;0,005;0,342;0,233;0,33;0,579;0,689;0,153;0,361;0,479;0,128;0,094;0,151;0,728;0,93;0,093;0,666;0,221;0,428;0,188;0,74
43;0,553;0,741;0,451;0,694;0,785;0,604;0,32;0,143;0,398;0,97;0,493;0,452;0,784;0,421;0,658;0,996;0,536;0,041;0,513;0,398;0,863;0,206;0,354;0,794;0,81;0,444;0,532;0,159;0,157;0,985;0,985;0,12;0,185;0,619;0,782;0,384;0,567;0,651;0,274;0,873;0,148;0,278;0,371;0,043;0,651;0,893;0,591;0,672;0,86;0,326
44;0,762;0,049;0,653;0,845;0,763;0,751;0,969;0,404;0,714;0,72;0,442;0,201;0,1;0,531;0,62;0,01;0,036;0,362;0,428;0,904;0,09;0,06;0,969;0,511;0,521;0,706;0,297;0,974;0,084;0,029;0,838;0,008;0,896;0,399;0,501;0,028;0,462;0,73;0,117;0,801;0,055;0,094;0,533;0,225;0,152;0,614;0,312;0,899;0,547;0,707
45;0,382;0,844;0,884;0,049;0,657;0,158;0,461;0,777;0,892;0,077;0,433;0,35;0,49;0,34;0,045;0,67;0,477;0,791;0,452;0,897;0,463;0,426;0,023;0,028;0,814;0,53;0,604;0,435;0,923;0,216;0,861;0,813;0,161;0,645;0,339;0,654;0,147;0,958;0,881;0,844;0,999;0,991;0,898;0,377;0,91;0,726;0,804;0,778;0,971;0,309
46;0,546;0,961;0,592;0,016;0,067;0,003;0,236;0,832;0,857;0,148;0,333;0,85;0,218;0,108;0,786;0,416;0,871;0,677;0,087;0,962;0,978;0,618;0,964;0,816;0,61;0,419;0,159;0,053;0,577;0,985;0,581;0,255;0,355;0,254;0,761;0,807;0,611;0,491;0,282;0,148;0,542;0,632;0,285;0,339;0,533;0,303;0,868;0,946;0,257;0,665
47;0,573;0,261;0,42;0,153;0,463;0,008;0,995;0,227;0,378;0,88;0,436;0,18;0,917;0,058;0,766;0,108;0,545;0,995;0,75;0,688;0,052;0,161;0,557;0,542;0,852;0,808;0,013;0,04;0,091;0,535;0,855;0,976;0,997;0,453;0,27;0,89;0,543;0,946;0,288;0,858;0,687;0,122;0,917;0,309;0,613;0,316;0,707;0,031;0,815;0,382
48;0,402;0,49;0,916;0,869;0,588;0,786;0,735;0,224;0,11;0,889;0,623;0,08;0,677;0,849;0,57;0,915;0,161;0,723;0,622;0,798;0,956;0,776;0,811;0,491;0,571;0,593;0,078;0,083;0,24;0,85;0,274;0,759;0,467;0,179;0,214;0,094;0,965;0,018;0,783;0,862;0,585;0,124;0,071;0,745;0,589;0,582;0,136;0,309;0,289;0,416
49;0,544;0,299;0,357;0,798;0,945;0,008;0,543;0,877;0,663;0,199;0,752;0,449;0,924;0,186;0,043;0,504;0,205;0,743;0,423;0,884;0,494;0,382;0,999;0,569;0,947;0,767;0,32;0,206;0,604;0,802;0,744;0,157;0,447;0,739;0,861;0,549;0,73;0,81;0,778;0,236;0,381;0,596;0,431;0,142;0,53;0,691;0,347;0,831;0,577;0,534
